

=== update_days = 60 ===

-- entry=0.1, exit=0.1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.028487  0.170152  0.167423  0.476071  0.091991    326.119120  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.128255  0.218450  0.587114  0.464646  0.088670    338.332770  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.284731  0.211065 -1.349021  0.452055  0.093825    319.744825  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.209981  0.219875  0.955001  0.542466  0.111724    268.518783  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4   0.019925  0.222036  0.089736  0.490411  0.119717    250.590912  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.545954  0.296168  1.843392  0.534247  0.119676    250.677827  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.509191  0.346734  1.468534  0.517808  0.158728    189.003075  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.028667  0.192126  0.149212  0.520548  0.112933    265.644763  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.087228  0.165766  0.526211  0.534247  0.110415    271.703079  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.212895  0.166377  1.279592  0.520548  0.104986    285.751175  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.220137  0.220741  0.997266  0.487671  0.098463    304.682159  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11 -0.070012  0.134897 -0.519003  0.421717  0.092557    324.125147  2019-10-23 2021-10-22 2021-10-23 2022-10-22
12  0.217947  0.118498  1.839253  0.510101  0.102451    292.823162  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.087414  0.131817  0.663141  0.477273  0.100534    298.405331  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.466266  0.173860  2.681854  0.515152  0.098676    304.025925  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.387927  0.166756  2.326318  0.515152  0.106963    280.470416  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.399335  0.201315  1.983634  0.510101  0.103383    290.184051  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.105299  0.095487  1.102753  0.512626  0.092935    322.807906  2020-10-17 2022-10-16 2022-10-17 2023-10-16
18  0.005718  0.142279  0.040189  0.526027  0.096656    310.379134  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19  0.005419  0.140432  0.038590  0.479452  0.100880    297.383628  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.134007  0.139454  0.960943  0.497268  0.089691    334.480148  2021-04-15 2023-04-14 2023-04-15 2024-04-14
21 -0.004225  0.102370 -0.041275  0.500000  0.081608    367.612305  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.022069  0.096759 -0.228082  0.494536  0.088603    338.588842  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.1, exit=0.2 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.047311  0.177073  0.267186  0.468514  0.093883    319.546371  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.153963  0.224423  0.686036  0.482323  0.093278    321.620057  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.299680  0.219525 -1.365126  0.452055  0.100017    299.948526  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.327577  0.226714  1.444893  0.550685  0.120422    249.124483  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4  -0.011000  0.230894 -0.047642  0.490411  0.127953    234.461234  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.619088  0.303025  2.043027  0.547945  0.128067    234.252904  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.511734  0.360948  1.417750  0.512329  0.168826    177.697630  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.002278  0.197563  0.011532  0.523288  0.125894    238.295015  2019-02-25 2021-02-24 2021-02-25 2022-02-24
